Bird name,Species,No. of Unique Syllables,Sequence Linearity,Sequence Consistency,Sequence stereotypy,Transition Entropy,No. of Unique Start Syll,Fraction of Unique Start Syll,No. of Unique transitions
ASB_Blackblue,ASB,10,0.3448275862068966,0.5784090909090911,0.46161833855799383,12.066836899318712,2.0,0.2,29.0
ASB_orange,ASB,13,0.30952380952380953,0.6205704407951599,0.4650471251594847,15.83187187796426,2.0,0.15384615384615385,42.0
ASB_red,ASB,12,0.32432432432432434,0.6322274881516589,0.4782759062379916,14.499890502087764,3.0,0.25,37.0
ASB_white,ASB,11,0.36666666666666664,0.6450584484590861,0.5058625575628763,11.317144972934543,1.0,0.09090909090909091,30.0
ASB_y36a,ASB,8,0.3333333333333333,0.5982658959537572,0.46579961464354525,9.417364200538485,1.0,0.125,24.0
ASB_yellow,ASB,11,0.34375,0.5950413223140496,0.4693956611570248,12.902758363764029,5.0,0.45454545454545453,32.0
BCC_M01,BCC,19,0.6785714285714286,0.9039422543031651,0.7912568414372969,5.706907299978707,3.0,0.15789473684210525,28.0
BCC_M03,BCC,16,0.48484848484848486,0.7846987136086662,0.6347735992285755,10.488026643130699,4.0,0.25,33.0
BCC_M08,BCC,12,0.32432432432432434,0.6223908918406073,0.4733576080824658,14.467767414054752,3.0,0.25,37.0
BCC_M09,BCC,16,0.5925925925925926,0.8903095558546433,0.741451074223618,6.2221636189392395,1.0,0.0625,27.0
BCC_M11,BCC,18,0.6666666666666666,0.8668252080856125,0.7667459373761396,6.721627162636369,4.0,0.2222222222222222,27.0
BCC_M19,BCC,17,0.5483870967741935,0.7761664564943254,0.6622767766342594,10.325353585715332,2.0,0.11764705882352941,31.0
BCC_M21,BCC,11,0.4782608695652174,0.7517948717948719,0.6150278706800447,8.315422745861264,2.0,0.18181818181818182,23.0
BCC_M22,BCC,12,0.27906976744186046,0.5733461169702778,0.42620794220606917,16.01038580541561,2.0,0.16666666666666666,43.0
BF_brn20pnk9,BF,10,0.5882352941176471,0.7645011600928073,0.6763682271052271,6.062668905375213,1.0,0.1,17.0
BF_brn24pnk13,BF,9,0.5625,0.7386363636363636,0.6505681818181819,5.813680973440428,1.0,0.1111111111111111,16.0
BF_brn25pnk14,BF,10,0.5263157894736842,0.7825086306098963,0.6544122100417902,6.590416704641323,2.0,0.2,19.0
BF_brn35pnk21,BF,7,0.6363636363636364,0.7167235494880546,0.6765435929258454,4.211340521418258,1.0,0.14285714285714285,11.0
BF_brn36pnk24,BF,8,0.47058823529411764,0.698956780923994,0.5847725081090558,6.421862149874003,1.0,0.125,17.0
BF_org20ylw24,BF,9,0.42857142857142855,0.6514575411913814,0.540014484881405,8.234239330542016,2.0,0.2222222222222222,21.0
BF_org27ylw19,BF,8,0.5714285714285714,0.6916426512968299,0.6315356113627006,5.460836365488447,1.0,0.125,14.0
ISB_r5y81,ISB,11,0.34375,0.5393494228751312,0.4415497114375656,13.894767342393006,2.0,0.18181818181818182,32.0
ISB_y51i,ISB,13,0.35135135135135137,0.630360205831904,0.49085577859162766,14.139095249195172,2.0,0.15384615384615385,37.0
ISB_y54i,ISB,11,0.4074074074074074,0.6784232365145227,0.542915321960965,10.178267142618438,2.0,0.18181818181818182,27.0
ISB_y61i,ISB,10,0.37037037037037035,0.6619883040935672,0.5161793372319687,10.102407839307725,1.0,0.1,27.0
ISB_y63i,ISB,10,0.24390243902439024,0.43937575030012,0.3416390946622551,16.70213797456244,4.0,0.4,41.0
JF_red28blu13,JF,8,0.47058823529411764,0.6632352941176471,0.5669117647058823,6.9305014386309525,2.0,0.25,17.0
JF_y23g09,JF,8,0.4444444444444444,0.7326440177252584,0.5885442310848514,6.6331509666607475,1.0,0.125,18.0
JF_ylw14gry00,JF,11,0.3333333333333333,0.6008230452674898,0.46707818930041156,12.451178126087088,4.0,0.36363636363636365,33.0
JF_ylw20gry09,JF,9,0.5625,0.7144686299615877,0.6384843149807938,6.347993097388017,2.0,0.2222222222222222,16.0
JF_ylw22gry08,JF,11,0.4074074074074074,0.6523046092184367,0.529856008312922,11.00976746767552,4.0,0.36363636363636365,27.0
JF_ylw25gry11,JF,10,0.43478260869565216,0.6489841986455982,0.5418834036706252,9.796266599892336,3.0,0.3,23.0
SF_y08s,SF,15,0.4838709677419355,0.823529411764706,0.6537001897533208,9.318097402288393,4.0,0.26666666666666666,31.0
SF_y14s,SF,11,0.36666666666666664,0.7172342621259029,0.5419504643962848,10.5105083716516,1.0,0.09090909090909091,30.0
SF_y47s,SF,12,0.48,0.7932405566600397,0.6366202783300199,8.185424916586602,1.0,0.08333333333333333,25.0
SF_y50s,SF,12,0.5217391304347826,0.7585199610516068,0.6401295457431947,8.202354341089777,2.0,0.16666666666666666,23.0
ZF_grn21org41,ZF,9,0.6,0.8100128369704749,0.7050064184852374,4.778199709594431,3.0,0.3333333333333333,15.0
ZF_org01wht58,ZF,9,0.42857142857142855,0.6903225806451614,0.559447004608295,8.03378544447151,2.0,0.2222222222222222,21.0
ZF_org11pnk05,ZF,10,0.38461538461538464,0.6548165137614679,0.5197159491884262,9.881254559677119,2.0,0.2,26.0
ZF_pnk93pnk91,ZF,10,0.47619047619047616,0.7935779816513763,0.6348842289209262,6.926175983951598,2.0,0.2,21.0
ZF_red15ylw15,ZF,8,0.5,0.7236842105263158,0.611842105263158,5.7838275078422114,2.0,0.25,16.0
ZF_red77pnk45,ZF,8,0.42105263157894735,0.7352941176470589,0.5781733746130031,6.266894954266939,2.0,0.25,19.0
ZF_ylw67brn42,ZF,9,0.47368421052631576,0.7862595419847328,0.6299718762555243,6.232503064367446,2.0,0.2222222222222222,19.0
ZF_ylw95ylw29,ZF,10,0.5,0.8057142857142857,0.6528571428571428,6.171722282281468,3.0,0.3,20.0
